#SEMS_140_MONO_181103_124729
#--------------------------------
#MCPC SN: 77
#Software Version: v4.0.0
#SEMS Firmware: 4.0
#
#Scan Configuration
#-------------------
#Scan Type: Up/Down
#Scan Max Dia (nm): 600
#Scan Min Dia (nm): 5
#Num Bins: 30
#Bin Time (sec): 1.00
#Sheath Setpoint (lpm): 5.00
#Total Plumbing Delay (sec): 2.14
#Scan Timing: Fixed Interval
#Scan Fixed Interval: 45.9
#
#Hardware Configuration
#----------------------
#SEMS Type: Recirc
#Column Type: 1um
#High Voltage Polarity: Positive
#High Voltage Limit: 6000
#CPC A Type: MCPC 1720
#CPC A Flow Type: MCPC Sample Flow
#Column Flow: SEMS Sample Flow
#CPC B Connected: No
#Sheath RH Sensor: Yes
#Sample RH Sensor: Yes
#Sample LFE: Yes
#Sample Excess Pump: No
#Impactor Threshold: 20
#
#Plumbing/Diffusion Configuration
#--------------------------------
#Diffusion Correction Enabled: Yes
#Nafion Dryer: Yes
#Charger Type: X-Ray
#Upstream Tubing Length (cm): 23.0
#Downstream Tubing Length (cm): 38.0
#Downstream Tube ID (cm): 0.5
#Plumbing Time Adjust (sec): 0.0
#
#Calibration Coefficients
#------------------------
#hv_ps_slp: 10046
#hv_ps_off: 7526
#impct_slp: 2524
#impct_off: -1066
#press_slp: 3173
#press_off: -1330
#cal_temp: 23.6
#sheath_c2: -2064
#sheath_c1: 4873
#sheath_c0: -7030
#sample_c2: 1300
#sample_c1: 2098
#sample_c0: -2475
#sampxs_c2: 0
#sampxs_c1: 0
#sampxs_c0: 0
#excess_c2: 0
#excess_c1: 0
#excess_c0: 0
#
#YY/MM/DD	HR:MN:SC	mono_size	sheathflw	sheath_rh	sheathtmp	samp_flw	samp_rh	samp_temp	samp_pres	sampxsflw	impct_prs	sems_errs	bin_cnt_a	bin_flw_a	bin_cnt_b	sems_mode	save_intv	sheath_sp	sampxs_sp	mcpc_hrtb	mcpc_smpf	mcpc_satf	mcpc_cndt	mcpc_satt	mcpc_sn	mcpc_errs	sheathpwr	sh_valve1	sh_valve2	sampxspwr	sxsvalve1	sxsvalve2	hv_ps_dac	sensr_tmp	sensr_htr	sh_thrm
18/11/03	12:49:16	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.339	22.7	47.7	77	256	200	93	11	0	0	0	2430	40.1	0	24.1
18/11/03	12:49:17	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.1	0	24.1
18/11/03	12:49:18	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.339	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.0	15	24.1
18/11/03	12:49:19	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.0	15	24.1
18/11/03	12:49:20	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.339	22.7	47.7	77	256	200	93	11	0	0	0	2430	40.0	15	24.1
18/11/03	12:49:21	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.334	0.339	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.0	15	24.1
18/11/03	12:49:22	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.7	47.7	77	256	200	93	11	0	0	0	2430	39.9	32	24.1
18/11/03	12:49:23	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.334	0	1	1	5.00	0.00	0	0.335	0.339	22.6	47.7	77	256	200	93	11	0	0	0	2430	39.9	34	24.1
18/11/03	12:49:24	60	5.02	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.334	0.339	22.6	47.7	77	256	200	93	11	0	0	0	2430	39.9	36	24.1
18/11/03	12:49:25	60	5.00	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.6	47.7	77	256	200	93	11	0	0	0	2430	39.9	38	24.1
18/11/03	12:49:25	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.6	47.7	77	256	200	93	11	0	0	0	2430	39.9	40	24.1
18/11/03	12:49:27	60	5.00	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.6	47.7	77	256	200	93	11	0	0	0	2430	39.9	42	24.1
18/11/03	12:49:28	60	5.00	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.7	47.7	77	256	200	93	11	0	0	0	2430	39.9	44	24.1
18/11/03	12:49:28	60	5.00	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.7	47.7	77	256	200	93	11	0	0	0	2430	39.9	46	24.1
18/11/03	12:49:29	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.0	31	24.1
18/11/03	12:49:31	60	5.00	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.0	31	24.1
18/11/03	12:49:32	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.334	0	1	1	5.00	0.00	0	0.335	0.339	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.1	15	24.1
18/11/03	12:49:32	60	5.00	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.334	0	1	1	5.00	0.00	0	0.334	0.339	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.1	13	24.1
18/11/03	12:49:34	60	5.00	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.334	0	1	1	5.00	0.00	0	0.334	0.339	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.2	0	24.1
18/11/03	12:49:35	60	5.00	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.334	0.339	22.7	47.7	77	256	200	93	11	0	0	0	2430	40.2	0	24.1
18/11/03	12:49:36	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.7	47.7	77	256	200	93	11	0	0	0	2430	40.3	0	24.1
18/11/03	12:49:37	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.7	47.7	77	256	200	93	11	0	0	0	2430	40.3	0	24.1
18/11/03	12:49:38	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.7	47.7	77	256	200	93	11	0	0	0	2430	40.4	0	24.1
18/11/03	12:49:39	60	5.01	50	24.8	0.260	45	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.7	47.7	77	256	200	93	11	0	0	0	2430	40.4	0	24.1
18/11/03	12:49:41	60	5.01	50	24.8	0.260	46	26.2	996	0.00	1	0	0	0.336	0	1	1	5.00	0.00	0	0.336	0.337	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.4	0	24.1
18/11/03	12:49:41	60	5.01	50	24.8	0.260	46	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.4	0	24.1
18/11/03	12:49:42	60	5.02	50	24.8	0.260	46	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.335	0.338	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.4	0	24.1
18/11/03	12:49:43	60	5.01	50	24.8	0.260	46	26.2	996	0.00	1	0	0	0.336	0	1	1	5.00	0.00	0	0.335	0.338	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.4	0	24.1
18/11/03	12:49:44	60	5.01	50	24.8	0.260	46	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.336	0.338	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.4	0	24.1
18/11/03	12:49:45	60	5.01	50	24.8	0.260	46	26.2	996	0.00	1	0	0	0.334	0	1	1	5.00	0.00	0	0.334	0.339	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.4	0	24.1
18/11/03	12:49:46	60	5.01	50	24.8	0.260	46	26.2	996	0.00	1	0	0	0.335	0	1	1	5.00	0.00	0	0.334	0.339	22.6	47.7	77	256	200	93	11	0	0	0	2430	40.4	0	24.1
